Parameter: carbon.CO2_per_rocket_launch
Value,SEIS,Break_Even,Carbon_Debt
1500.0000,102.3610,642.6,906.00
1631.5789,102.3610,702.5,984.95
1763.1579,102.3610,763.1,1063.89
1894.7368,102.3610,824.4,1142.84
2026.3158,102.3610,886.4,1221.79
2157.8947,102.3610,949.1,1300.74
2289.4737,102.3610,1012.6,1379.68
2421.0526,102.3610,1076.8,1458.63
2552.6316,102.3610,1141.7,1537.58
2684.2105,102.3610,1207.4,1616.53
2815.7895,102.3610,1273.9,1695.47
2947.3684,102.3610,1341.2,1774.42
3078.9474,102.3610,1409.2,1853.37
3210.5263,102.3610,1478.1,1932.32
3342.1053,102.3610,1547.9,2011.26
3473.6842,102.3610,1618.5,2090.21
3605.2632,102.3610,1689.9,2169.16
3736.8421,102.3610,1762.3,2248.11
3868.4211,102.3610,1835.5,2327.05
4000.0000,102.3610,1909.7,2406.00

Parameter: carbon.elevator_construction_Mt
Value,SEIS,Break_Even,Carbon_Debt
2.0000,102.3610,1113.4,1503.00
2.4211,102.3610,1113.7,1503.42
2.8421,102.3610,1114.0,1503.84
3.2632,102.3610,1114.4,1504.26
3.6842,102.3610,1114.7,1504.68
4.1053,102.3610,1115.0,1505.11
4.5263,102.3610,1115.3,1505.53
4.9474,102.3610,1115.6,1505.95
5.3684,102.3610,1115.9,1506.37
5.7895,102.3610,1116.2,1506.79
6.2105,102.3610,1116.5,1507.21
6.6316,102.3610,1116.8,1507.63
7.0526,102.3610,1117.2,1508.05
7.4737,102.3610,1117.5,1508.47
7.8947,102.3610,1117.8,1508.89
8.3158,102.3610,1118.1,1509.32
8.7368,102.3610,1118.4,1509.74
9.1579,102.3610,1118.7,1510.16
9.5789,102.3610,1119.0,1510.58
10.0000,102.3610,1119.3,1511.00

Parameter: carbon.elevator_transport_factor
Value,SEIS,Break_Even,Carbon_Debt
0.0500,102.3610,1115.2,1505.50
0.0579,102.3610,1115.3,1505.58
0.0658,102.3610,1115.4,1505.66
0.0737,102.3610,1115.4,1505.74
0.0816,102.3610,1115.5,1505.82
0.0895,102.3610,1115.6,1505.89
0.0974,102.3610,1115.6,1505.97
0.1053,102.3610,1115.7,1506.05
0.1132,102.3610,1115.7,1506.13
0.1211,102.3610,1115.8,1506.21
0.1289,102.3610,1115.9,1506.29
0.1368,102.3610,1115.9,1506.37
0.1447,102.3610,1116.0,1506.45
0.1526,102.3610,1116.1,1506.53
0.1605,102.3610,1116.1,1506.61
0.1684,102.3610,1116.2,1506.68
0.1763,102.3610,1116.3,1506.76
0.1842,102.3610,1116.3,1506.84
0.1921,102.3610,1116.4,1506.92
0.2000,102.3610,1116.5,1507.00

Parameter: colony.population
Value,SEIS,Break_Even,Carbon_Debt
50000.0000,102.3610,2231.3,1506.00
57894.7368,102.3610,1927.0,1506.00
65789.4737,102.3610,1695.8,1506.00
73684.2105,102.3610,1514.1,1506.00
81578.9474,102.3610,1367.6,1506.00
89473.6842,102.3610,1246.9,1506.00
97368.4211,102.3610,1145.8,1506.00
105263.1579,102.3610,1059.9,1506.00
113157.8947,102.3610,985.9,1506.00
121052.6316,102.3610,921.6,1506.00
128947.3684,102.3610,865.2,1506.00
136842.1053,102.3610,815.3,1506.00
144736.8421,102.3610,770.8,1506.00
152631.5789,102.3610,730.9,1506.00
160526.3158,102.3610,695.0,1506.00
168421.0526,102.3610,662.4,1506.00
176315.7895,102.3610,632.8,1506.00
184210.5263,102.3610,605.6,1506.00
192105.2632,102.3610,580.7,1506.00
200000.0000,102.3610,557.8,1506.00

Parameter: colony.earth_per_capita_emission
Value,SEIS,Break_Even,Carbon_Debt
8.0000,102.3610,2317.3,1506.00
8.8947,102.3610,2036.9,1506.00
9.7895,102.3610,1817.0,1506.00
10.6842,102.3610,1639.9,1506.00
11.5789,102.3610,1494.4,1506.00
12.4737,102.3610,1372.5,1506.00
13.3684,102.3610,1269.0,1506.00
14.2632,102.3610,1180.1,1506.00
15.1579,102.3610,1102.7,1506.00
16.0526,102.3610,1034.9,1506.00
16.9474,102.3610,975.0,1506.00
17.8421,102.3610,921.6,1506.00
18.7368,102.3610,873.8,1506.00
19.6316,102.3610,830.6,1506.00
20.5263,102.3610,791.6,1506.00
21.4211,102.3610,756.0,1506.00
22.3158,102.3610,723.5,1506.00
23.2105,102.3610,693.7,1506.00
24.1053,102.3610,666.2,1506.00
25.0000,102.3610,640.9,1506.00

Parameter: atmospheric.W_stratosphere
Value,SEIS,Break_Even,Carbon_Debt
200.0000,75.7930,1115.6,1506.00
231.5789,78.5896,1115.6,1506.00
263.1579,81.3863,1115.6,1506.00
294.7368,84.1829,1115.6,1506.00
326.3158,86.9795,1115.6,1506.00
357.8947,89.7762,1115.6,1506.00
389.4737,92.5728,1115.6,1506.00
421.0526,95.3694,1115.6,1506.00
452.6316,98.1660,1115.6,1506.00
484.2105,100.9627,1115.6,1506.00
515.7895,103.7593,1115.6,1506.00
547.3684,106.5559,1115.6,1506.00
578.9474,109.3526,1115.6,1506.00
610.5263,112.1492,1115.6,1506.00
642.1053,114.9458,1115.6,1506.00
673.6842,117.7425,1115.6,1506.00
705.2632,120.5391,1115.6,1506.00
736.8421,123.3357,1115.6,1506.00
768.4211,126.1324,1115.6,1506.00
800.0000,128.9290,1115.6,1506.00

